Product Name,Product Image URL,Product Description
Gartenmöbel-Set Kathrin/Carina,https://media.cdn.bauhaus/m/199501/15.jpg,"Das Gartenmöbel-Set Kathrin/Carina beinhaltet eine umfassende Ausstattung für jede Terrasse. Der Sunfun Kathrin Gartentisch bietet großzügig Platz zum Essen, Verweilen und Genießen. Er überzeugt durch seine Teak-Optik in natürlichem Design. Passend dazu enthält das Set die Sunfun Kathrin Gartenbank, die das Design des Tisches wiederaufnimmt. Bis zu drei Personen können gemütlich auf ihr Platz nehmen. Sowohl für Tisch als auch Bank wurde ausschließlich Akazienholz aus nachhaltigen bewirtschafteten Wäldern verwendet. Ergänzende, flexible Sitzmöglichkeiten bieten drei Sunfun Gartenstühle Carina. Das anthrazitfarbene Gestell ist aus pulverbeschichteten Stahl gefertigt und die Sitz- und Rückenfläche aus robustem Akazienholz. Der Stuhl besticht durch seine Teakholz-Optik. Da der Stuhl stapelbar ist, lässt er sich platzsparend verstauen. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Siena Garden

Gartenmöbel-Set Paleros",https://media.cdn.bauhaus/m/1236633/15.jpg,"Das 4-teilige Dining-Set Paleros überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem klassischen Tisch aus hochwertigem Akazienholz und 2 Stühlen und einer Bank. Die Stühle und die Bank sind auch aus hochwertigem Akazienholz gefertigt. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
Gartenmöbel-Set Aruba/Futura,https://media.cdn.bauhaus/m/1237217/15.jpg,"Das 7-teilige Set Aruba/Futura überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem Lofttisch aus Kunststoff und 6 bequemen Klappstühlen. Die superleichten Stühle sind komplett aus Kunststoff gefertigt und besitzen eine Rückenfläche, die 5-fach verstellbar ist. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
Gartenmöbel-Set Aruba/Futura,https://media.cdn.bauhaus/m/1192539/15.jpg,"Das 9-teilige Set Aruba/Futura überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem Dining Tisch aus Kunststoff und 4 bequemen Klappstühlen mit Auflagen aus Baumwolle und Polyester. Die superleichten Stühle sind komplett aus Kunststoff gefertigt und besitzen eine Rückenfläche, die 5-fach verstellbar ist. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Sunfun

Gartenmöbel-Set Maja/Annika",https://media.cdn.bauhaus/m/1435284/15.jpg,"Das Gartenmöbel-Set Maja/Annika besteht aus einem Maja Gartentisch und 4 Annika Gartensesseln. Der schlichte Gartentisch mit einem dezenten Design hat eine pflegeleichte Sicherheitsglas-Tischplatte sowie ein robustes Aluminium-Tischgestell. Die Annika Gartenstühle haben ein stabiles Metallgestell und eine ansprechend geformte, geschlitzte Sitzschale aus Kunststoff. Dadurch können sie mit pflegeleichten Materialien punkten und bieten zeitglich überraschenden Komfort."
"Sunfun

Gartenmöbel-Set Laura/Pauline",https://media.cdn.bauhaus/m/1018993/15.jpg,"Das 5-teilige Gartenmöbelset Laura/Pauline von Sunfun besteht aus einem Tisch und vier Stühlen. Der Sunfun Gartentisch Laura lässt sich dank seiner modernen und schlichten Optik ideal mit zahlreichen Gartenstühlen kombinieren und sorgt für eine wohnliche Atmosphäre im Garten oder auf der Terrasse. Er ist aus hochwertigem, gebürstetem Akazienholz gefertigt und für eine lange Haltbarkeit im Außenbereich mit Polyurethanfarbe in hellem Teakbraun behandelt. Der Tisch lässt sich schnell und einfach aufbauen und ist mit bis zu 75 kg belastbar. Der Diningsessel Pauline wurde aus hochwertigem, lichtechtem PE-Geflecht in Bambus Grey gefertigt und besticht durch eine angenehme Haptik. Dank der runden Form und der Sitzauflage in Anthrazit bietet er idealen Sitzkomfort. Das Untergestell aus Aluminium und die Füße aus Akazienholz in X-Form sorgen für Stabilität und ein modernes Design. Hinweis: Gartenmöbel werden ohne Dekoration ausgeliefert."
Gartenmöbel-Set Diana/Pauline,https://media.cdn.bauhaus/m/667021-1/15.jpg,"Das 4-teilige Gartenmöbelset Diana/Pauline besteht aus dem stabilen Akazienholztisch Diana, der Akazienholzbank Diana und 2 Diningsesseln Pauline. Dank des hochwertigen Akazienholzes sind Tisch und Bank witterungsbeständig und resistent gegenüber Schädlingen und Pilzen. Bei Bedarf lässt sich der Tisch einfach zusammenklappen und leicht verstauen. Somit kann er überall und jederzeit problemlos bewegt und verwendet werden. Die Bank bietet, mit ihrer Länge von 156 cm und den beiden seitlichen Armlehnen, eine komfortable Sitzgelegenheit für bis zu 3 Personen. Die zum Set gehörenden Diningsessel Pauline bestehen aus hochwertigem, lichtechtem PE-Geflecht in Bambus Grey und bestechen durch eine angenehme Haptik. Dank der runden Form und der Sitzauflage in Anthrazit vereinen sie idealen Sitzkomfort und ein modernes Design. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Gartenmöbel-Sets werden ohne Dekoration verkauft."
Gartenmöbel-Set Diana/Pauline Diningsessel,https://media.cdn.bauhaus/m/667022/15.jpg,"Das 4-teilige Gartenmöbelset Diana/Pauline besteht aus dem stabilen Akazienholztisch Diana, der Akazienholzbank Diana und 2 Diningsesseln Pauline. Dank des hochwertigen Akazienholzes sind Tisch und Bank witterungsbeständig und resistent gegenüber Schädlingen und Pilzen. Bei Bedarf lässt sich der Tisch einfach zusammenklappen und leicht verstauen. Somit kann er überall und jederzeit problemlos bewegt und verwendet werden. Die Bank bietet, mit ihrer Länge von 116 cm und den beiden seitlichen Armlehnen, eine komfortable Sitzgelegenheit für bis zu 2 Personen. Die zum Set gehörenden Diningsessel Pauline bestehen aus hochwertigem, lichtechtem PE-Geflecht in Bambus Grey und bestechen durch eine angenehme Haptik. Dank der runden Form und der Sitzauflage in Anthrazit vereinen sie idealen Sitzkomfort und ein modernes Design. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege. Gartenmöbel-Sets werden ohne Dekoration verkauft."
"Siena Garden

Gartenmöbel-Set Paleros",https://media.cdn.bauhaus/m/1192657/15.jpg,"Das 7-teilige Dining-Set Paleros überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem klassischen Tisch aus hochwertigem Akazienholz und 6 Stühlen. Die superleichten Stühle sind auch aus hochwertigem Akazienholz gefertigt. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
Gartenmöbel-Set Eva,https://media.cdn.bauhaus/m/1520862/15.jpg,"Das Gartenmöbel-Set Eva besteht aus einem Gartentisch und 4 'Eva' Gartensesseln. Runde Gartentische haben einen großen Vorteil: in geselliger Runde können entspannt Gespräche geführt werden - und zwar mit jeder Person am Tisch. Der Diningtisch mit einem Durchmesser von 110 cm bietet in diesem Set großzügig Platz für 4 Personen. Die Stapelsessel Eva sind aus leichtem, langlebigem Aluminium gefertigt und haben eine bequeme Sitzfläche aus Polyrattangeflecht. Bei Nichtgebrauch können sie platzsparend gestapelt und verstaut werden."
